Observer's latitude (deg) ? 147
Day of the month (1-31)? 6
Month (1-12) ? 3
Right ascension (h,m)   ? 9,54
Declination (deg)       ? 76

From (h,m): ? 7,54
To (h,m):   ? 6,43

Positive rotation rates are clockwise:
 16h 12    Rotation  -0.24
 16h 13    Rotation  -0.24
 16h 14    Rotation  -0.24
 16h 15    Rotation  -0.24
 16h 16    Rotation  -0.24
 16h 17    Rotation  -0.24
 16h 18    Rotation  -0.24
 16h 19    Rotation  -0.24
 16h 20    Rotation  -0.24
 16h 21    Rotation  -0.24
 16h 22    Rotation  -0.24
 16h 23    Rotation  -0.24
 16h 24    Rotation  -0.24
 16h 25    Rotation  -0.24
 16h 26    Rotation  -0.24
 16h 27    Rotation  -0.24
 16h 28    Rotation  -0.24
 16h 29    Rotation  -0.24
 16h 30    Rotation  -0.24
 16h 31    Rotation  -0.24
 16h 32    Rotation  -0.24
 16h 33    Rotation  -0.24
 16h 34    Rotation  -0.24
 16h 35    Rotation  -0.24
 16h 36    Rotation  -0.24
 16h 37    Rotation  -0.24
 16h 38    Rotation  -0.24
 16h 39    Rotation  -0.24
 16h 40    Rotation  -0.24
 16h 41    Rotation  -0.24
 16h 42    Rotation  -0.24
 16h 43    Rotation  -0.24
 16h 44    Rotation  -0.24
 16h 45    Rotation  -0.24
 16h 46    Rotation  -0.24
 16h 47    Rotation  -0.24
 16h 48    Rotation  -0.24
 16h 49    Rotation  -0.24
 16h 50    Rotation  -0.24
 16h 51    Rotation  -0.24
 16h 52    Rotation  -0.24
 16h 53    Rotation  -0.24
 16h 54    Rotation  -0.24
 16h 55    Rotation  -0.24
 16h 56    Rotation  -0.24
 16h 57    Rotation  -0.24
 16h 58    Rotation  -0.24
 16h 59    Rotation  -0.24
 17h  0    Rotation  -0.24
 17h  1    Rotation  -0.24
 17h  2    Rotation  -0.24
 17h  3    Rotation  -0.24
 17h  4    Rotation  -0.24
 17h  5    Rotation  -0.24
 17h  6    Rotation  -0.24
 17h  7    Rotation  -0.24
 17h  8    Rotation  -0.24
 17h  9    Rotation  -0.24
 17h 10    Rotation  -0.24
 17h 11    Rotation  -0.24
 17h 12    Rotation  -0.24
 17h 13    Rotation  -0.24
 17h 14    Rotation  -0.24
 17h 15    Rotation  -0.24
 17h 16    Rotation  -0.24
 17h 17    Rotation  -0.23
 17h 18    Rotation  -0.23
 17h 19    Rotation  -0.23
 17h 20    Rotation  -0.23
 17h 21    Rotation  -0.23
 17h 22    Rotation  -0.23
 17h 23    Rotation  -0.23
 17h 24    Rotation  -0.23
 17h 25    Rotation  -0.23
 17h 26    Rotation  -0.23
 17h 27    Rotation  -0.23
 17h 28    Rotation  -0.23
 17h 29    Rotation  -0.23
 17h 30    Rotation  -0.23
 17h 31    Rotation  -0.23
 17h 32    Rotation  -0.23
 17h 33    Rotation  -0.23
 17h 34    Rotation  -0.23
 17h 35    Rotation  -0.23
 17h 36    Rotation  -0.23
 17h 37    Rotation  -0.23
 17h 38    Rotation  -0.23
 17h 39    Rotation  -0.23
 17h 40    Rotation  -0.23
 17h 41    Rotation  -0.23
 17h 42    Rotation  -0.23
 17h 43    Rotation  -0.23
 17h 44    Rotation  -0.23
 17h 45    Rotation  -0.23
 17h 46    Rotation  -0.23
 17h 47    Rotation  -0.23
 17h 48    Rotation  -0.23
 17h 49    Rotation  -0.23
 17h 50    Rotation  -0.23
 17h 51    Rotation  -0.23
 17h 52    Rotation  -0.23
 17h 53    Rotation  -0.23
 17h 54    Rotation  -0.23
 17h 55    Rotation  -0.23
 17h 56    Rotation  -0.23
 17h 57    Rotation  -0.23
 17h 58    Rotation  -0.23
 17h 59    Rotation  -0.23
 18h  0    Rotation  -0.23
 18h  1    Rotation  -0.23
 18h  2    Rotation  -0.23
 18h  3    Rotation  -0.23
 18h  4    Rotation  -0.23
 18h  5    Rotation  -0.23
 18h  6    Rotation  -0.23
 18h  7    Rotation  -0.23
 18h  8    Rotation  -0.23
 18h  9    Rotation  -0.23
 18h 10    Rotation  -0.23
 18h 11    Rotation  -0.23
 18h 12    Rotation  -0.23
 18h 13    Rotation  -0.23
 18h 14    Rotation  -0.23
 18h 15    Rotation  -0.23
 18h 16    Rotation  -0.23
 18h 17    Rotation  -0.23
 18h 18    Rotation  -0.23
 18h 19    Rotation  -0.23
 18h 20    Rotation  -0.23
 18h 21    Rotation  -0.23
 18h 22    Rotation  -0.23
 18h 23    Rotation  -0.23
 18h 24    Rotation  -0.23
 18h 25    Rotation  -0.23
 18h 26    Rotation  -0.23
 18h 27    Rotation  -0.23
 18h 28    Rotation  -0.23
 18h 29    Rotation  -0.23
 18h 30    Rotation  -0.23
 18h 31    Rotation  -0.23
 18h 32    Rotation  -0.23
 18h 33    Rotation  -0.23
 18h 34    Rotation  -0.23
 18h 35    Rotation  -0.23
 18h 36    Rotation  -0.23
 18h 37    Rotation  -0.23
 18h 38    Rotation  -0.23
 18h 39    Rotation  -0.23
 18h 40    Rotation  -0.23
 18h 41    Rotation  -0.23
 18h 42    Rotation  -0.23
 18h 43    Rotation  -0.23
 18h 44    Rotation  -0.23
 18h 45    Rotation  -0.23
 18h 46    Rotation  -0.23
 18h 47    Rotation  -0.23
 18h 48    Rotation  -0.23
 18h 49    Rotation  -0.23
 18h 50    Rotation  -0.23
 18h 51    Rotation  -0.23
 18h 52    Rotation  -0.23
 18h 53    Rotation  -0.23
 18h 54    Rotation  -0.23
 18h 55    Rotation  -0.23
 18h 56    Rotation  -0.23
 18h 57    Rotation  -0.23
 18h 58    Rotation  -0.23
 18h 59    Rotation  -0.23
 19h  0    Rotation  -0.23
 19h  1    Rotation  -0.23
 19h  2    Rotation  -0.23
 19h  3    Rotation  -0.23
 19h  4    Rotation  -0.23
 19h  5    Rotation  -0.23
 19h  6    Rotation  -0.23
 19h  7    Rotation  -0.23
 19h  8    Rotation  -0.23
 19h  9    Rotation  -0.23
 19h 10    Rotation  -0.23
 19h 11    Rotation  -0.23
 19h 12    Rotation  -0.23
 19h 13    Rotation  -0.23
 19h 14    Rotation  -0.23
 19h 15    Rotation  -0.23
 19h 16    Rotation  -0.23
 19h 17    Rotation  -0.23
 19h 18    Rotation  -0.23
 19h 19    Rotation  -0.23
 19h 20    Rotation  -0.23
 19h 21    Rotation  -0.23
 19h 22    Rotation  -0.23
 19h 23    Rotation  -0.23
 19h 24    Rotation  -0.22
 19h 25    Rotation  -0.22
 19h 26    Rotation  -0.22
 19h 27    Rotation  -0.22
 19h 28    Rotation  -0.22
 19h 29    Rotation  -0.22
 19h 30    Rotation  -0.22
 19h 31    Rotation  -0.22
 19h 32    Rotation  -0.22
 19h 33    Rotation  -0.22
 19h 34    Rotation  -0.22
 19h 35    Rotation  -0.22
 19h 36    Rotation  -0.22
 19h 37    Rotation  -0.22
 19h 38    Rotation  -0.22
 19h 39    Rotation  -0.22
 19h 40    Rotation  -0.22
 19h 41    Rotation  -0.22
 19h 42    Rotation  -0.22
 19h 43    Rotation  -0.22
 19h 44    Rotation  -0.22
 19h 45    Rotation  -0.22
 19h 46    Rotation  -0.22
 19h 47    Rotation  -0.22
 19h 48    Rotation  -0.22
 19h 49    Rotation  -0.22
 19h 50    Rotation  -0.22
 19h 51    Rotation  -0.22
 19h 52    Rotation  -0.22
 19h 53    Rotation  -0.22
 19h 54    Rotation  -0.22
 19h 55    Rotation  -0.22
 19h 56    Rotation  -0.22
 19h 57    Rotation  -0.22
 19h 58    Rotation  -0.22
 19h 59    Rotation  -0.22
 20h  0    Rotation  -0.22
 20h  1    Rotation  -0.22
 20h  2    Rotation  -0.22
 20h  3    Rotation  -0.22
 20h  4    Rotation  -0.22
 20h  5    Rotation  -0.22
 20h  6    Rotation  -0.22
 20h  7    Rotation  -0.22
 20h  8    Rotation  -0.22
 20h  9    Rotation  -0.22
 20h 10    Rotation  -0.22
 20h 11    Rotation  -0.22
 20h 12    Rotation  -0.22
 20h 13    Rotation  -0.22
 20h 14    Rotation  -0.22
 20h 15    Rotation  -0.22
 20h 16    Rotation  -0.22
 20h 17    Rotation  -0.22
 20h 18    Rotation  -0.22
 20h 19    Rotation  -0.22
 20h 20    Rotation  -0.22
 20h 21    Rotation  -0.22
 20h 22    Rotation  -0.22
 20h 23    Rotation  -0.22
 20h 24    Rotation  -0.22
 20h 25    Rotation  -0.22
 20h 26    Rotation  -0.22
 20h 27    Rotation  -0.22
 20h 28    Rotation  -0.22
 20h 29    Rotation  -0.22
 20h 30    Rotation  -0.22
 20h 31    Rotation  -0.22
 20h 32    Rotation  -0.22
 20h 33    Rotation  -0.22
 20h 34    Rotation  -0.22
 20h 35    Rotation  -0.22
 20h 36    Rotation  -0.22
 20h 37    Rotation  -0.22
 20h 38    Rotation  -0.22
 20h 39    Rotation  -0.22
 20h 40    Rotation  -0.22
 20h 41    Rotation  -0.22
 20h 42    Rotation  -0.22
 20h 43    Rotation  -0.22
 20h 44    Rotation  -0.22
 20h 45    Rotation  -0.22
 20h 46    Rotation  -0.22
 20h 47    Rotation  -0.22
 20h 48    Rotation  -0.22
 20h 49    Rotation  -0.22
 20h 50    Rotation  -0.22
 20h 51    Rotation  -0.22
 20h 52    Rotation  -0.22
 20h 53    Rotation  -0.22
 20h 54    Rotation  -0.22
 20h 55    Rotation  -0.22
 20h 56    Rotation  -0.22
 20h 57    Rotation  -0.22
 20h 58    Rotation  -0.22
 20h 59    Rotation  -0.22
 21h  0    Rotation  -0.22
 21h  1    Rotation  -0.22
 21h  2    Rotation  -0.22
 21h  3    Rotation  -0.22
 21h  4    Rotation  -0.22
 21h  5    Rotation  -0.22
 21h  6    Rotation  -0.22
 21h  7    Rotation  -0.22
 21h  8    Rotation  -0.22
 21h  9    Rotation  -0.22
 21h 10    Rotation  -0.22
 21h 11    Rotation  -0.22
 21h 12    Rotation  -0.22
 21h 13    Rotation  -0.22
 21h 14    Rotation  -0.22
 21h 15    Rotation  -0.22
 21h 16    Rotation  -0.22
 21h 17    Rotation  -0.22
 21h 18    Rotation  -0.22
 21h 19    Rotation  -0.22
 21h 20    Rotation  -0.22
 21h 21    Rotation  -0.22
 21h 22    Rotation  -0.22
 21h 23    Rotation  -0.22
 21h 24    Rotation  -0.22
 21h 25    Rotation  -0.22
 21h 26    Rotation  -0.22
 21h 27    Rotation  -0.22
 21h 28    Rotation  -0.22
 21h 29    Rotation  -0.22
 21h 30    Rotation  -0.22
 21h 31    Rotation  -0.22
 21h 32    Rotation  -0.22
 21h 33    Rotation  -0.22
 21h 34    Rotation  -0.22
 21h 35    Rotation  -0.22
 21h 36    Rotation  -0.22
 21h 37    Rotation  -0.22
 21h 38    Rotation  -0.22
 21h 39    Rotation  -0.22
 21h 40    Rotation  -0.22
 21h 41    Rotation  -0.22
 21h 42    Rotation  -0.22
 21h 43    Rotation  -0.22
 21h 44    Rotation  -0.22
 21h 45    Rotation  -0.22
 21h 46    Rotation  -0.22
 21h 47    Rotation  -0.22
 21h 48    Rotation  -0.22
 21h 49    Rotation  -0.22
 21h 50    Rotation  -0.22
 21h 51    Rotation  -0.22
 21h 52    Rotation  -0.22
